index,country_code,details,file,timestamp,tls_cipher,tls_protocol,url
0,JP,"{'installer': {'name': 'Browser', 'version': None}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.3.2.tar.gz', 'project': 'textcleaner', 'version': '0.3.2', 'type': 'sdist'}",12/25/2018 0:33,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/13/54/56c1c7d89a6706fb8e6b5543f6ac8caa0c5b43b999bc939cdbc22ab37514/textcleaner-0.3.2.tar.gz
1,US,"{'installer': {'name': 'bandersnatch', 'version': '1.11'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.4.5.tar.gz', 'project': 'textcleaner', 'version': '0.4.5', 'type': 'sdist'}",1/2/2019 8:54,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/67/7b/5ad2779a8dca380ad850496ba3edc99d58f7e29d66df984cc2eeca86b8a0/textcleaner-0.4.5.tar.gz
2,US,"{'installer': {'name': 'bandersnatch', 'version': '1.11'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.4.3.tar.gz', 'project': 'textcleaner', 'version': '0.4.3', 'type': 'sdist'}",1/2/2019 8:54,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/fa/f4/13d75b45b61cacd820efae7850f3ce7ab9955110a516a6ba8789c5e1b1f0/textcleaner-0.4.3.tar.gz
3,,"{'installer': {'name': 'bandersnatch', 'version': '2.2.1'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.3.2.tar.gz', 'project': 'textcleaner', 'version': '0.3.2', 'type': 'sdist'}",12/25/2018 5:57,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/13/54/56c1c7d89a6706fb8e6b5543f6ac8caa0c5b43b999bc939cdbc22ab37514/textcleaner-0.3.2.tar.gz
4,,"{'installer': {'name': 'bandersnatch', 'version': '2.2.1'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.3.tar.gz', 'project': 'textcleaner', 'version': '0.3', 'type': 'sdist'}",12/25/2018 5:57,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/29/46/c1daed011a52dbda8b5d59efccec9d48a7cca7b7918c0ff02312f75a6800/textcleaner-0.3.tar.gz
5,,"{'installer': {'name': 'bandersnatch', 'version': '2.2.1'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.1.tar.gz', 'project': 'textcleaner', 'version': '0.1', 'type': 'sdist'}",12/25/2018 5:57,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/6c/8c/054b5ad449266d11d1243deefe29707d62ddb22c296fb580abc674ef554a/textcleaner-0.1.tar.gz
6,,"{'installer': {'name': 'bandersnatch', 'version': '2.2.1'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.2.tar.gz', 'project': 'textcleaner', 'version': '0.2', 'type': 'sdist'}",12/25/2018 5:57,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/59/b7/06f2eb678b1030b9e2c01eeb63217b231027ec83cf2e3855bc572375894f/textcleaner-0.2.tar.gz
7,,"{'installer': {'name': 'bandersnatch', 'version': '2.2.1'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.3.1.tar.gz', 'project': 'textcleaner', 'version': '0.3.1', 'type': 'sdist'}",12/25/2018 5:57,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/f3/19/71090e9f280d258244b080c694dde89c1ed346ecacb652b9f68f7efd3773/textcleaner-0.3.1.tar.gz
8,US,"{'installer': {'name': 'bandersnatch', 'version': '1.11'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.4.4.tar.gz', 'project': 'textcleaner', 'version': '0.4.4', 'type': 'sdist'}",1/2/2019 8:54,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/c5/39/717bee7667dddf193c3cb12ee74062794938afb474bf3f60d732f6e109d5/textcleaner-0.4.4.tar.gz
9,SG,"{'installer': {'name': 'bandersnatch', 'version': '3.1.2'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.1.tar.gz', 'project': 'textcleaner', 'version': '0.1', 'type': 'sdist'}",12/25/2018 8:10,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/6c/8c/054b5ad449266d11d1243deefe29707d62ddb22c296fb580abc674ef554a/textcleaner-0.1.tar.gz
